Tiempo desde erupcion (d);Magnitud;;;;;;;;;;;;
4070,8;6,4;;;;;;;;;;;;
4071,54;6,5;;;;;;;;;;;;
4074,9;6,4;;;;;;;;;;;;
4075,9;6,2;;;;;;;;;;;;
4077,9;6,4;;;;;;;;;;;;
4078,9;6,3;;;;;;;;;;;;
4083,5;6,6;;;;;;;;;;;;
4084,5;6,2;;;;;;;;;;;;
4084,9;6,4;;;;;;;;;;;;
4094,5;6,3;;;;;;;;;;;;
4097,5;6,3;;;;;;;;;;;;
4098,4;6,3;;;;;;;;;;;;
4099,4;6,3;;;;;;;;;;;;
4100,3;6,6;;;;;;;;;;;;
4101,3;6,6;;;;;;;;;;;;
4101,5;6,7;;;;;;;;;;;;
4101,6;6,4;;;;;;;;;;;;
4102,6;6,3;;;;;;;;;;;;
4102,7;6,4;;;;;;;;;;;;
4103,7;6,5;;;;;;;;;;;;
4104,8;6,4;;;;;;;;;;;;
4105,5;6,4;;;;;;;;;;;;
4105,9;6,5;;;;;;;;;;;;
4106,7;6,5;;;;;;;;;;;;
4107,3;6,6;;;;;;;;;;;;
4107,5;6,6;;;;;;;;;;;;
4107,6;6,4;;;;;;;;;;;;
4107,8;6,4;;;;;;;;;;;;
4108,9;6,5;;;;;;;;;;;;
4109,5;6,6;;;;;;;;;;;;
4109,8;6,5;;;;;;;;;;;;
4110,7;6,4;;;;;;;;;;;;
4111,4;6,6;;;;;;;;;;;;
4115,8;6,4;;;;;;;;;;;;
4116,7;6,5;;;;;;;;;;;;
4116,8;6,5;;;;;;;;;;;;
4118,4;6,7;;;;;;;;;;;;
4119,4;6,5;;;;;;;;;;;;
4119,4;6,5;;;;;;;;;;;;
4119,7;6,5;;;;;;;;;;;;
4119,8;6,5;;;;;;;;;;;;
4121,4;6,4;;;;;;;;;;;;
4121,7;6,6;;;;;;;;;;;;
4124,4;6,5;;;;;;;;;;;;
4126,5;6,5;;;;;;;;;;;;
4126,7;6,4;;;;;;;;;;;;
4127,5;6,8;;;;;;;;;;;;
4127,5;6,5;;;;;;;;;;;;
4127,7;6,4;;;;;;;;;;;;
4128,7;6,5;;;;;;;;;;;;
4129,7;6,5;;;;;;;;;;;;
4130,4;6,6;;;;;;;;;;;;
4130,5;6,8;;;;;;;;;;;;
4131,7;6,5;;;;;;;;;;;;
4131,8;6,6;;;;;;;;;;;;
4136,7;6,5;;;;;;;;;;;;
4136,7;7,4;;;;;;;;;;;;
4137,4;7,3;;;;;;;;;;;;
4137,4;6,5;;;;;;;;;;;;
4137,7;6,4;;;;;;;;;;;;
4138,8;6,7;;;;;;;;;;;;
4138,9;6,5;;;;;;;;;;;;
4140,6;6,2;;;;;;;;;;;;
4140,7;6,4;;;;;;;;;;;;
4140,7;6,5;;;;;;;;;;;;
4142,6;6,2;;;;;;;;;;;;
4142,7;6,4;;;;;;;;;;;;
4143,6;6,2;;;;;;;;;;;;
4144,7;6,8;;;;;;;;;;;;
4146,5;6,9;;;;;;;;;;;;
4147,8;6,8;;;;;;;;;;;;
4148,6;6,2;;;;;;;;;;;;
4155,5;6,7;;;;;;;;;;;;
4156,7;6,4;;;;;;;;;;;;
4157,7;6,4;;;;;;;;;;;;
4158,4;6,8;;;;;;;;;;;;
4162,7;6,6;;;;;;;;;;;;
4163,6;6,9;;;;;;;;;;;;
4164,6;6,9;;;;;;;;;;;;
4165,6;6,9;;;;;;;;;;;;
4165,6;6,3;;;;;;;;;;;;
4166,3;6,9;;;;;;;;;;;;
4166,7;6,4;;;;;;;;;;;;
4167,7;6,6;;;;;;;;;;;;
4168,3;6,8;;;;;;;;;;;;
4168,6;6,0;;;;;;;;;;;;
4168,7;6,6;;;;;;;;;;;;
4169,6;6,8;;;;;;;;;;;;
4170,4;6,7;;;;;;;;;;;;
4171,5;6,7;;;;;;;;;;;;
4171,7;6,6;;;;;;;;;;;;
4172,8;6,9;;;;;;;;;;;;
4173,5;6,7;;;;;;;;;;;;
4174,3;6,7;;;;;;;;;;;;
4177,4;6,7;;;;;;;;;;;;
4178,5;6,7;;;;;;;;;;;;
4178,6;7,0;;;;;;;;;;;;
4178,9;6,7;;;;;;;;;;;;
4179,6;6,1;;;;;;;;;;;;
4180,6;6,1;;;;;;;;;;;;
4184,5;6,7;;;;;;;;;;;;
4185,7;6,6;;;;;;;;;;;;
4186,3;6,7;;;;;;;;;;;;
4186,5;6,7;;;;;;;;;;;;
4186,7;6,7;;;;;;;;;;;;
4188,4;6,8;;;;;;;;;;;;
4189,4;7,0;;;;;;;;;;;;
4190,6;7,5;;;;;;;;;;;;
4190,7;6,7;;;;;;;;;;;;
4191,6;7,1;;;;;;;;;;;;
4191,6;6,1;;;;;;;;;;;;
4192,5;6,7;;;;;;;;;;;;
4192,7;6,9;;;;;;;;;;;;
4193,4;6,7;;;;;;;;;;;;
4193,6;6,2;;;;;;;;;;;;
4193,7;7,0;;;;;;;;;;;;
4194,42;6,8;;;;;;;;;;;;
