Tiempo desde erupcion (d);Magnitud
1,92981;7,553
1,92989;7,584
1,930412;7,552
1,931014;7,53
1,931639;7,53
1,93222;7,631
1,932252;7,552
1,932866;7,549
1,933479;7,557
1,934093;7,524
1,934718;7,546
1,93497;7,591
1,935331;7,563
1,935944;7,541
1,936546;7,528
1,93708;7,57
1,93941;7,566
1,94175;7,633
1,94523;7,614
1,94751;7,616
1,95007;7,611
1,9525;7,604
1,95492;7,614
1,95707;7,639
1,9594;7,598
1,9642;7,609
1,96754;7,614
1,97024;7,563
1,97305;7,608
1,9755;7,591
1,97903;7,599
1,9821;7,582
1,98442;7,589
1,98777;7,598
1,98977;7,582
1,99299;7,575
1,99516;7,594
1,99741;7,622
2,00012;7,595
2,00252;7,585
2,00546;7,604
2,00736;7,607
2,011;7,584
2,01302;7,607
2,01585;7,593
2,01839;7,602
2,02036;7,624
2,02284;7,621
2,02545;7,627
2,028;7,63
2,03058;7,605
2,03315;7,621
2,03558;7,641
2,0385;7,645
2,04108;7,645
2,04376;7,661
2,04605;7,654
2,04828;7,634
2,05229;7,632
2,05536;7,626
2,05857;7,67
2,06188;7,644
2,06608;7,665
2,06935;7,687
2,07278;7,685
2,07706;7,683
2,07947;7,694
2,0822;7,693
2,08633;7,682
2,08953;7,724
2,08956;7,674
2,09233;7,72
2,09505;7,712
2,09875;7,742
2,10168;7,729
2,10416;7,707
2,10667;7,708
2,10875;7,706
2,11041;7,715
2,11328;7,72
2,11497;7,721
2,11673;7,718
2,11848;7,735
2,12024;7,683
2,12202;7,721
2,12383;7,715
2,12552;7,728
2,12728;7,707
2,12904;7,737
2,13081;7,715
2,13256;7,721
2,13443;7,741
2,13608;7,719
2,13783;7,734
2,13958;7,735
2,14134;7,726
2,1431;7,749
2,1457;7,749
2,14736;7,746
2,1491;7,754
2,15085;7,74
2,15261;7,765
2,1552;7,75
2,15683;7,739
2,15859;7,752
2,16037;7,736
2,16211;7,759
2,16505;7,754
2,16844;7,761
2,17022;7,772
2,17196;7,762
2,17372;7,753
2,17612;7,747
2,17794;7,747
2,1797;7,742
2,18146;7,745
2,18377;7,764
2,225574;7,796
2,506697;7,956
2,507067;7,88
2,507437;7,91
2,507819;7,992
2,508178;7,986
2,508549;7,974
2,508919;7,917
2,509301;7,893
2,50966;7,927
2,51003;7,899
2,510412;7,904
2,510782;7,924
2,511153;7,893
2,511535;7,897
2,511917;7,933
2,512299;7,951
2,512669;7,902
2,513051;7,927
2,513421;7,884
2,513803;7,946
2,514162;7,934
2,514532;7,899
2,514914;7,963
2,515273;7,902
2,515643;7,875
2,516014;7,95
2,516384;8,042
2,516766;7,936
2,517137;7,883
2,517518;7,897
2,517889;7,899
2,518271;8,04
2,518641;7,979
2,519023;7,946
2,519393;7,919
2,519775;7,939
2,520146;7,911
2,520528;7,994
2,520898;7,939
2,52128;7,981
2,521662;7,956
2,522032;7,979
2,522414;7,956
2,522785;7,935
2,523167;7,998
2,523525;7,947
2,523907;7,982
2,524278;7,964
2,52466;8,029
2,525018;7,977
2,5254;7,99
2,525759;7,947
2,526141;7,979
2,526512;7,91
2,526893;7,987
